各位同學：
meet上課時間與代碼，如下所示。同步mail給全班同學。
1.請同學準時上課，會進行點名。
2.請事前將相關設備好，例如麥克風與螢幕畫面等。

課程名稱	日期	星期	時間		meet代碼
電子學		5/19	三	13:10-14:00	https://meet.google.com/cev-accb-xex
微處理機	5/19	三	14:10-16:00	https://meet.google.com/zhd-qxdr-hid
班會		5/20	四	08:20-09:10	https://meet.google.com/gxy-bjpm-dui
AI2		5/20	四	09:20-12:10	https://meet.google.com/fjs-jquz-apu
數學點名	5/20	四	13:15-13:19	https://meet.google.com/rzn-ntqy-ynu
電子學		5/20	四	14:10-16:00	https://meet.google.com/cev-accb-xex
英文(公開)	5/21	五	10:00-11:00	https://meet.google.com/swc-ebsq-rjx
電子學		5/21	五	13:10-15:00	https://meet.google.com/cev-accb-xex
國文		5/21	五	15:10-16:00	https://meet.google.com/ohg-hjgp-ptm
微處理機	5/24	一	08:20-09:10	https://meet.google.com/oip-qubt-pef
單晶片A組	5/24	一	09:20-10:10	https://meet.google.com/vew-umyx-xvn
電子學實習AB	5/24	一	10:20-12:10	https://meet.google.com/wka-bgbj-oxi
英文(公開)	5/25	二	08:00-09:00	https://meet.google.com/piy-fisq-xpp
健康		5/25	二	10:10-12:10	https://meet.google.com/tzu-egcr-jqf
體育		5/25	二	13:10-15:00	https://meet.google.com/pny-dkxg-obb
國文		5/25	二	15:10-16:00	https://meet.google.com/ohg-hjgp-ptm
英文(公開)	5/26	三	08:00-09:40	https://meet.google.com/avu-xrhb-xrn
國文		5/25	三	10:20-12:10	https://meet.google.com/ohg-hjgp-ptm
電子學		5/25	三	13:10-14:00	https://meet.google.com/cev-accb-xex
微處理機	5/25	三	14:10-16:00	https://meet.google.com/fpg-bfud-zqn
班會		5/27	四	08:20-09:10	https://meet.google.com/vzs-efyz-hdk
AI2		5/27	四	09:20-12:10	https://meet.google.com/fjs-jquz-apu
數學點名	5/27	四	13:15-14:00	https://meet.google.com/rzn-ntqy-ynu
電子學		5/27	四	14:10-16:00	https://meet.google.com/cev-accb-xex
英文		5/28	五	08:20-09-10	https://meet.google.com/szm-krvt-fgk
數學		5/28	五	10:20-12:10	https://meet.google.com/rzn-ntqy-ynu
電子學		5/28	五	13:10-15:00	https://meet.google.com/cev-accb-xex
國文		5/28	五	15:10-16:00	https://meet.google.com/ohg-hjgp-ptm
微處理機	5/31 	一	08:20-09:10	https://meet.google.com/oip-qubt-pef
單晶片		5/31 	一	09:20-16:00	https://meet.google.com/vew-umyx-xvn
電子學實習A	5/31	一	10:20-12:10	https://meet.google.com/wka-bgbj-oxi

英文		6/1	二	08:20-09:10	https://meet.google.com/hfv-ysyf-gok
數學		6/1	二	09:20-10:10	https://meet.google.com/rzn-ntqy-ynu
健康		6/1	二	10:10-12:10	https://meet.google.com/fxz-himf-wuw
國文		6/1	二	15:10-16:00	https://meet.google.com/ohg-hjgp-ptm

電子學		6/2	三	13:10-14:00	https://meet.google.com/cev-accb-xex
微處理機	6/2 	三	14:10-16:00	https://meet.google.com/fpg-bfud-zqn
班會		6/3 	四	08:20-09:10	https://meet.google.com/vzs-efyz-hdk
電子學		6/3	四	14:10-16:00	https://meet.google.com/cev-accb-xex
電子學		6/4	五	13:10-15:00	https://meet.google.com/cev-accb-xex
微處理機	6/7 	一	08:20-09:10	https://meet.google.com/oip-qubt-pef
單晶片		6/7 	一 	09:20-16:00	https://meet.google.com/vew-umyx-xvn
微處理機	6/9 	三 	14:10-16:00	https://meet.google.com/fpg-bfud-zqn
班會		6/10 	四 	08:20-09:10	https://meet.google.com/vzs-efyz-hdk

每日體溫回報
https://docs.google.com/forms/d/e/1FAIpQLSfgFXoUGCK3FxRVkTYcgu1SS_Lf_Owca1c3xHMoXQK2cEwaCA/viewform?vc=0&c=0&w=1&flr=0

http://dis.gd/threads
